181116 215843.177|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\user\Desktop\pc2Team\bin\logs directory.
181116 215843.177|INFO|AWT-EventQueue-0|info|
181116 215843.177|INFO|AWT-EventQueue-0|info|Version 9.5.4 20180926 (Wednesday, September 26th 2018 04:35 UTC) Java ver 1.7.0_75 build 4663 Windows Vista 6.0 (x86) 
181116 215843.177|INFO|AWT-EventQueue-0|info|Login: team101 (aka team101)
181116 215843.177|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\user\Desktop\pc2Team\bin
181116 215843.177|INFO|AWT-EventQueue-0|startLog|Process id is 4928@celsius39
181116 215843.177|INFO|AWT-EventQueue-0|info|Contacting server at 193.226.37.17:50002 as TEAM101 @ site 0
181116 215843.177|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM101 @ site 0
181116 215843.193|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM101 @ site 0 -> SERVER0 @ site 0
181116 215843.193|INFO|Thread-4|run|send(Serializable)
181116 215843.193|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM101 @ site 0 -> SERVER0 @ site 0
181116 215843.193|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
181116 215843.910|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
181116 215843.988|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #2002 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215843.988|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #2002 ) recieveObject
181116 215843.988|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 215843.988|INFO|Thread-5|dumpPacket|    To: TEAM101 @ site 1
181116 215843.988|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@adab12
181116 215843.988|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
181116 215843.988|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@1ba5839
181116 215843.988|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@f64084
181116 215843.988|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1541673642200,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2018,MONTH=10,WEEK_OF_YEAR=45,WEEK_OF_MONTH=2,DAY_OF_MONTH=8,DAY_OF_YEAR=312,DAY_OF_WEEK=5,DAY_OF_WEEK_IN_MONTH=2,AM_PM=0,HOUR=10,HOUR_OF_DAY=10,MINUTE=40,SECOND=42,MILLISECOND=200,ZONE_OFFSET=0,DST_OFFSET=0]
181116 215843.988|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@1059a9a
181116 215843.988|INFO|Thread-5|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Antrenament-6848141497330215606
181116 215843.988|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@e90879
181116 215843.988|INFO|Thread-5|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@12b71a3
