181116 215844.020|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\user\Desktop\pc2Team\bin\logs directory.
181116 215844.020|INFO|Thread-5|info|
181116 215844.020|INFO|Thread-5|info|Version 9.5.4 20180926 (Wednesday, September 26th 2018 04:35 UTC) Java ver 1.7.0_75 build 4663 Windows Vista 6.0 (x86) 
181116 215844.020|INFO|Thread-5|info|Login: team101 (aka team101)
181116 215844.020|INFO|Thread-5|startLog|Working directory is C:\Users\user\Desktop\pc2Team\bin
181116 215844.020|INFO|Thread-5|startLog|Process id is 4928@celsius39
181116 215844.020|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
181116 215844.051|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
181116 215844.363|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
181116 215844.363|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #2002 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215844.363|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #2002 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215912.291|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Problema 5.1 GNU C file: C:\Users\user\Desktop\produsvec\main.c
181116 215912.306|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 215912.306|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 215912.665|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2004 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215912.665|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2004 ) recieveObject
181116 215912.665|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 215912.665|INFO|Thread-8|dumpPacket|    To: TEAM101 @ site 1
181116 215912.665|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 391 QUEUED_FOR_COMPUTER_JUDGEMENT 11780 min 706846027ms from TEAM101 @ site 1 id Run--4230847574523115323 problem Problema 5.1--2241465970044590541 lang GNU C-9089484471426497038
181116 215912.665|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2004 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215912.665|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2004 ) handlePacket
181116 215912.665|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 215912.665|INFO|Thread-8|dumpPacket|    To: TEAM101 @ site 1
181116 215912.665|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 391 QUEUED_FOR_COMPUTER_JUDGEMENT 11780 min 706846027ms from TEAM101 @ site 1 id Run--4230847574523115323 problem Problema 5.1--2241465970044590541 lang GNU C-9089484471426497038
181116 215915.458|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2004 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215925.670|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2008 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215925.670|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #2008 ) recieveObject
181116 215925.671|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 215925.671|INFO|Thread-9|dumpPacket|    To: TEAM101 @ site 1
181116 215925.671|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 215925.671|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 391 MANUAL_REVIEW 11780 min 706846027ms from TEAM101 @ site 1 id Run--4230847574523115323 problem Problema 5.1--2241465970044590541 lang GNU C-9089484471426497038
181116 215925.672|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord--1764313074753389688
181116 215925.672|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #2008 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 215925.672|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #2008 ) handlePacket
181116 215925.673|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 215925.673|INFO|Thread-9|dumpPacket|    To: TEAM101 @ site 1
181116 215925.673|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 215925.673|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 391 MANUAL_REVIEW 11780 min 706846027ms from TEAM101 @ site 1 id Run--4230847574523115323 problem Problema 5.1--2241465970044590541 lang GNU C-9089484471426497038
181116 215925.674|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord--1764313074753389688
181116 220005.234|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2008 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 220016.041|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2012 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 220016.041|INFO|Thread-10|dumpPacket|Packet RUN_JUDGEMENT (Seq #2012 ) recieveObject
181116 220016.041|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 220016.042|INFO|Thread-10|dumpPacket|    To: TEAM101 @ site 1
181116 220016.042|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 220016.042|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 391 JUDGED 11780 min 706846027ms from TEAM101 @ site 1 id Run--4230847574523115323 problem Problema 5.1--2241465970044590541 lang GNU C-9089484471426497038
181116 220016.042|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord--1822770547025475768
181116 220016.043|INFO|Thread-10|info|handlePacket start Packet[RUN_JUDGEMENT] #2012 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 220016.043|INFO|Thread-10|dumpPacket|Packet RUN_JUDGEMENT (Seq #2012 ) handlePacket
181116 220016.043|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 220016.043|INFO|Thread-10|dumpPacket|    To: TEAM101 @ site 1
181116 220016.043|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 220016.044|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 391 JUDGED 11780 min 706846027ms from TEAM101 @ site 1 id Run--4230847574523115323 problem Problema 5.1--2241465970044590541 lang GNU C-9089484471426497038
181116 220016.044|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord--1822770547025475768
181116 220019.941|INFO|Thread-10|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2012 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 221345.174|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Problema 5.2 GNU C file: C:\Users\user\Desktop\matricediag\main.c
181116 221345.189|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 221345.189|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 221345.845|INFO|Thread-12|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2085 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 221345.845|INFO|Thread-12|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2085 ) recieveObject
181116 221345.845|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 221345.845|INFO|Thread-12|dumpPacket|    To: TEAM101 @ site 1
181116 221345.845|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 401 QUEUED_FOR_COMPUTER_JUDGEMENT 11795 min 707718927ms from TEAM101 @ site 1 id Run--2965687167001435628 problem Problema 5.2-7141579107318407924 lang GNU C-9089484471426497038
181116 221345.845|INFO|Thread-12|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2085 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 221345.845|INFO|Thread-12|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2085 ) handlePacket
181116 221345.845|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 221345.845|INFO|Thread-12|dumpPacket|    To: TEAM101 @ site 1
181116 221345.845|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 401 QUEUED_FOR_COMPUTER_JUDGEMENT 11795 min 707718927ms from TEAM101 @ site 1 id Run--2965687167001435628 problem Problema 5.2-7141579107318407924 lang GNU C-9089484471426497038
181116 221348.138|INFO|Thread-12|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2085 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 221401.725|INFO|Thread-13|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2089 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 221401.725|INFO|Thread-13|dumpPacket|Packet RUN_JUDGEMENT (Seq #2089 ) recieveObject
181116 221401.725|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 221401.725|INFO|Thread-13|dumpPacket|    To: TEAM101 @ site 1
181116 221401.725|INFO|Thread-13|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 221401.725|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 401 MANUAL_REVIEW 11795 min 707718927ms from TEAM101 @ site 1 id Run--2965687167001435628 problem Problema 5.2-7141579107318407924 lang GNU C-9089484471426497038
181116 221401.725|INFO|Thread-13|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-2737028285082772619
181116 221401.725|INFO|Thread-13|info|handlePacket start Packet[RUN_JUDGEMENT] #2089 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 221401.725|INFO|Thread-13|dumpPacket|Packet RUN_JUDGEMENT (Seq #2089 ) handlePacket
181116 221401.725|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 221401.725|INFO|Thread-13|dumpPacket|    To: TEAM101 @ site 1
181116 221401.725|INFO|Thread-13|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 221401.725|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 401 MANUAL_REVIEW 11795 min 707718927ms from TEAM101 @ site 1 id Run--2965687167001435628 problem Problema 5.2-7141579107318407924 lang GNU C-9089484471426497038
181116 221401.725|INFO|Thread-13|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-2737028285082772619
181116 221408.387|INFO|Thread-13|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2089 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 222337.363|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2132 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 222337.363|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #2132 ) recieveObject
181116 222337.363|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 222337.363|INFO|Thread-14|dumpPacket|    To: TEAM101 @ site 1
181116 222337.363|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
